#separator:tab
#html:true
"<img src=""paste-2e20aad60f1f180979c519f3a8090a52fd16de09.jpg"" title=""이 &lt;&gt; 기본서 6.232 참조소방시설의분류에는소화설비 , 경보설비 , 비상구조설비 , 소화용수설비및소화활동설비가있다 .
o1x""/>"	"<img src=""paste-621e03ce54aa0939f411925459d38328d48e6516.jpg"" title/>X"
"<img src=""paste-ba1d942e41c1c87196b58e85c5700a072c174d8a.jpg"" title=""10 &lt;&gt; 기본서 0.329 참조통합감시시설이란자동화재탐지설비수신기의화재신호와연동으로작동하여관계인에게화재발생을경보함과동시에소방관서에자동적으로통신망을통한당해화재발생및당해소방대상물의위치등을음성으로통보하여주는것을의미한다 .
o1x""/>"	"<img src=""paste-322467e8b13c4503153fb8beae4f10af3e47c159.jpg"" title/>X<div><img src=""paste-bd4f615aabbcfdfb0c6d454f7fae94c4c047ff18.png"" title/><br/></div>"
"<img src=""paste-8ff4d8122e2f493ab8578ed1c7cc5a1ff3a6074e.jpg"" title=""m &lt;&gt; 기본서 6.329 참조자동화재속보설비는작동신호를수신하거나수동으로동작시키는경우 10 초이내에소방관서에자동적으로신호를발하여통보하되 , 5 회이상속보할수있어야한다 .
ㅇ 1×""/>"	"<img src=""paste-063a33fb835705379f19cc8faf5d3df422323b67.jpg"" title/>X<br/><img src=""paste-9ddb7af09367c06272be4c2c4d3ba0d6080fe702.jpg"" title/>"
"<img src=""paste-0291ae83fcd871bbb0df76a19c1f15e9ab09516a.jpg"" title=""12 &lt;&gt; 가본서 6.330 참조누전경보기란내화구조가아닌건죽물로서벽 , 바닥또는천장의전부나일부를불연재료또는준불연재료가아닌재료에철망을넣어만든건물의전기설비로부터누설전류를탐지하여경보를발하는기기로서 , 변류기와수신부로구성된것을말한다 .
ㅇ 1×""/>"	"<img src=""paste-7fad5bd7dbdbffb8833c21b87f6fd14260c028ad.jpg"" title/>O<br/><img src=""paste-6f2b2d169d8ced4dd2947cbe050595d5c7bc2411.jpg"" title/>"
"<img src=""paste-134f71a92c1b385c24d9ba7c850ea89d3d9a4e5a.jpg"" title=""13 &lt;&gt; 기본서 0.331 참조일산화탄소 (&lt;) 경보기란일산화탄소 (&lt;0)) 가새는것을탐지하여관계자나이용자에게경보하여주는것으로바닥으로부터 0.3[m] 이하에탐지부를설치하여야한다 .
ㅎ 1※""/><div>액화천연가스</div><div>액화석유가스</div>"	"<img src=""paste-82b2cbd15c903122ce9b39f9eef49823021dd705.jpg"" title/>X<br/><img src=""paste-226bbf869e06a102983bbce34adf9c8f5c80a6dc.jpg"" title/><br/><img src=""paste-38bd6b4b9dc4d727bfb26f7d82cd02204f10b081.jpg"" title/>"
"<img src=""paste-7899480b67c14a45aa03430073ba052150c9343a.jpg"" title=""14 &gt; 기본서 6.333 참조화재알림설비란화재발생시화재위치를감지하여소방관서 (119) 및상인에게자동으로통보하는시스템으로유 - 무선방식이모두가능한것을말한다 .
ㅇ 1×""/>"	"<img src=""paste-b7ba1ce7d1fa91c32f76a959ef82a4ed195195ab.jpg"" title/>O<br/><img src=""paste-12e21c2e3431ce4d81a91842ed16d2b0450b65c0.jpg"" title/>"
"<img src=""paste-f1e27532331ccd706a892fc649ec64b3785a6d2a.jpg"" title='ns &lt;&gt; 기본서 6.333 참조화재알림설비의구성요소중 “ 화재알림형비상경보장치 "" 란화재알림형감지기 , 발신기 , BAIS, 지구음향장치 ( 경종또는사이렌등 ) 를내장한것으로화재발생상황을경보하는장치를말한다 .
ㅇ 1×'/>"	"<img src=""paste-2bd0174ef9d87b8da05ae7618808c4d27f8019b1.jpg"" title/>X<br/><img src=""paste-12e21c2e3431ce4d81a91842ed16d2b0450b65c0.jpg"" title/>"
"<img src=""paste-782c6a55b30a02669168e806a9520abf89d6af4f.jpg"" title='16 &lt;5 기본서 6333 참조화재알림설비의구성요소중 "" 화재알림형수신기 ” 란화재알림형감지기나발신기에서발하는화재정보값또는화재신호등을직접수신하거나화재알림형중계기를통해수신하여화재의발생을표시및경보하고 , 화재정보값등을수동으로저장하여 ,
자체내장된속보기능에의해화재신호를통신망을통하여소방관서에는음성등의방법으로통보하고 , 관계인에게음성의방법으로전달할수있는장치를말한다 .
ㅇ 1×'/>"	"<img src=""paste-1780a1aee0b614a042b8a1f97cd5fdfde150c621.jpg"" title/>X<br/><img src=""paste-12e21c2e3431ce4d81a91842ed16d2b0450b65c0.jpg"" title/>"
"<img src=""paste-a1c8a4e8e1c067f9af3cc359de37857042709de1.jpg"" title='17 &lt;&gt; 기본서 6333 참조화재알림설비의구성요소중 "" 원격감시서버 ” 란원격지에서각각의화재알림설비로부터수신한화재정보값및화재신호 , 상태신호 S8 원격으로감시하기위한서버를말한다 .
ㅇ 1×'/>"	"<img src=""paste-eb42856ef644c96cb05a8538f414f8b06a99a9c0.jpg"" title/>O<br/><img src=""paste-12e21c2e3431ce4d81a91842ed16d2b0450b65c0.jpg"" title/>"
"<img src=""paste-c87090d89a5da71c0a82b482ad69113061eca02b.jpg"" title=""18 &lt;5 기브서 0335 참조승강식피난기란포지등을사용하여자루형태로만든것으로서화재시사용자가그내부에들어가서내려옴으로써대피할수있는것을말한다 .""/><div><img src=""image-6a2b9800e344ee82187d9b5c3b11b8151e52a218.jpg"" title=""2 3 £ =
사용자의 B0 띠라자동적으로내려올수있는기구중사용지가교대연속적으로사용할수있는것사용자의 B TR 자동적으로 RIS 수있는기구중 MBI 연속적으로사용할수없는것회재발생시사람이건축물내에서 22 긴급히 RO [ 충격을 84510
안전하게지상에도달할수있도록포지에공기등을주입하는구조로되어있는것포지 58 사용하여자루형태로만든것으로서회재시사용자가그내부에들어가서내려옴으로써대피할수있는것사용자의몸무게에의하여자동으로하강하고 LIRSt 스스로상승하여연속적으로사용할수있는무동력승깅식기기하환식피난구해치에격남하여 LT 사용사에는사다리등이소방대상물과접촉되지않는내림식사다리
A 시긴급대피를위해사용하는사다리회째시 2인이상의패닌지가 SA 해당층에서지상또는피난층으로하강하는피난기구사자가미끄럼식으로신속하게자상또는피난층으로이동할수있는피난가구인접건축물또는피난층과연결된다리형태의피난기구화재층과직상층을연결하는계단형태의피난기구""/><br/></div>"	"<img src=""paste-857f296bf2dae33b8a868fd6bf3e6c87c5a409dd.jpg"" title/>X<br/><img src=""paste-435ccfdc6caebdd4936eaac2c318aa7d84c229fa.jpg"" title/>"
"<img src=""paste-056d981926b80c1e62834769b110062df44ebeaf.jpg"" title=""19 &lt;&gt; 기본서 0.335 참조완강기란사용자의몸무게에따라자동적으로내려올수있는기구중사용자가연속적으로사용할수없는것을말한다 .
ㅇ 1×""/>"	"<img src=""paste-61b2013c21be39ccc2b84c90ceabca973257f3e7.jpg"" title/>X<br/><img src=""paste-435ccfdc6caebdd4936eaac2c318aa7d84c229fa.jpg"" title/>"
"<img src=""paste-529bfa755e3470d25c06b74743be98be9780baca.jpg"" title=""120 &lt;&gt; 기본서 .335 참조피난용트랩이란인접건축물또는피난층과연결된다리형태의피난기구를말한다 .
ㅇ 1%""/>"	"<img src=""paste-ceaa831ec553af67b2b5c8f0074788cb46f4848f.jpg"" title/>X<br/><img src=""paste-435ccfdc6caebdd4936eaac2c318aa7d84c229fa.jpg"" title/>"
"<img src=""paste-bbbbf27df3e3664a56614059f84174328face1b1.jpg"" title=""121 &lt;&gt; 기본서 0.336 참조
4 층이상 10 층이하의노유자시설에설치하는구조대의적응성은노인관련시설로서주된사용자중스스로피난이불가한자가있는경우추가로설치하는경우에한한다 .
ㅇ 1×""/><div>간이완강기</div><div>공기안전매트</div>"	"<img src=""paste-57063ca70581d7ee3f09141ba95d3ee2a3c3496b.jpg"" title/>X<div><img src=""paste-2a77400f94762335ea02a079b2259cce4a73ffcb.png"" title/><br/></div>"
"<img src=""paste-216038d907a3d37bf5ce37868a2de51005b88e89.jpg"" title=""122 &lt;5 기본서 ”0.337 참조피난또는소화활동상유효한개구부는 712 1.0(m] 이상 , HIZ 0.5[m] 이상인것으
2, 개구부하단이바닥에서 1.0[m] 이상이면발판등을설치하고개방된창문은게파괴할수있는파괴장치를비치하여야한다 .
o1x""/>"	"<img src=""paste-caae7286eda16fb958902c5ad5e96abf2fc8c3d8.jpg"" title/>X<div><img src=""paste-2c7eb5a1c5558227556ea78a53913564180d884b.png"" title/><br/></div>"
"<img src=""paste-afbc1e5deefc9199b7c0aec6d47cf7fd6e534aca.jpg"" title=""123 &lt;&gt; 기본서 0.337 참조
4 층이상의층에하향식피난구용내림식사다리를설치하는경우에는금속성고정사다리를설치하고 , 당해고정사다리에는쉽게피난할수있는구조의노대를설치하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-0eea3d976010606d9ad9732afcae5d58e5a3d311.jpg"" title/>X<div><img src=""paste-2c7eb5a1c5558227556ea78a53913564180d884b.png"" title/><br/></div>"
"<img src=""paste-bcdded45dac0a1af7f13b70f647ddc7ff6c54008.jpg"" title=""124 &lt;&gt; 기본서 0.337 참조피난기구는특정소방대상물의기둥 - 바닥 - 보기타구조상견고한부분에볼트조임 -
매입 - 용접기타의방법으로견고하게부착하여야한다 .
o1x""/>"	"<img src=""paste-943bcd02f44ca0195a2d4603f04b5620c7ccfb26.jpg"" title/>O<div><img src=""paste-2c7eb5a1c5558227556ea78a53913564180d884b.png"" title/><br/></div>"
"<img src=""paste-23f631706f1417b2617b8285088274831ac3d0b4.jpg"" title=""125 &lt;&gt; 기본서 0.338 참조다수인피난장비의사용시에탑승기외측문이먼저열리고보관실외측으로자동으로전개될것 .
ㅇ 1×""/>"	"<img src=""paste-46298d525a411363a436efb01f454f96ffc2258c.jpg"" title/>X<div><img src=""paste-05960a05294fea4f0d57927a2499bfd3e7016ada.png"" title/><br/></div>"
"<img src=""paste-1af34529ec749e7d6de432c5336d5b7ea0cd8888.jpg"" title=""126 &lt;&gt; 기본서 6.340 참조인명구조기구중방열복은화재진압등의소방활동을수행할수있는피복이며 , 방화복은고온의복사열에가까이접근하여소방활동을수행할수있는내열피복이다 .
ㅇ 1×""/>"	"<img src=""paste-b4520649f5108f3b983086844cc6bd1a6e0abf1a.jpg"" title/>X<div><img src=""paste-810ab11645d02bc490155ed31e74081eeaf66415.png"" title/><br/></div>"
"<img src=""paste-1ead615eba2f7e73376e847f020a35950a434068.jpg"" title=""127 &lt;&gt; 기본서 6.341 참조물분무등소화설비중할로겐화합물및불활성기체소화설비를설치하여야하는특정소방대상물에는할로겐화합물및불활성기체소화설비가설치된장소의출입구외부인근에 1 대이상공기호흡기를비치하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-a41779c420a4449c4d62c8e0b47dd5a8c333d889.jpg"" title/>X<div><img src=""paste-e8d229b199427371e1b954940d0ffaf9679f0769.png"" title/><br/></div>"
"<img src=""paste-87eea969258cfb4a4f1cf0bc9e45f28859cb9c8d.jpg"" title=""128 &lt;&gt; 기본서 6.341 참조지하층을포함하는층수가 5 층이상인관광호텔에는방열복또는방화복 , 공기호흡기 , 인공소생기를각 2 개이상비치하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-a74feed240409fff214cf0c93f415bdfbc56e0fc.jpg"" title/>X<div><img src=""paste-e8d229b199427371e1b954940d0ffaf9679f0769.png"" title/><br/></div>"
"<img src=""paste-ba6bf2136633b4c47306085b0a2c05a241211c32.jpg"" title=""129 5 기본서 .342 참조통로유도등의종류에는거실통로유도등 , 복도통로유도등 , 객석통로유도등이있으며 ,
녹색바탕에백색표시를한다 .
ㅇ 1×""/>"	"<img src=""paste-36802840bebb82454143cf702d4287e5d60a495e.jpg"" title/>X<div><img src=""paste-42372dd7c713751fda645d3f5582fd0126e7c933.png"" title/><br/></div>"
"<img src=""paste-759c2fa2ad8ab5dbae63ae9449dd3b1990355117.jpg"" title=""130 &lt;5 기본서 0.342 참조
2 선식배선이란평상시에는유도등을소등상태로유도등의비상전원을충전하고 , 화재등비상시점등신호를받아유도등을자동으로점등되도록하는방식의배선을말한다 .
ㅇ 1×""/>"	"<img src=""paste-4acc53cbec70488ab68eba1f7daa59c2eb3653b7.jpg"" title/>X<div><img src=""paste-42372dd7c713751fda645d3f5582fd0126e7c933.png"" title/><br/></div>"
"<img src=""paste-6e085a445b81a5956de4365f8ea58a8139902f46.jpg"" title=""131 &lt;5 기본서 0.343 참조피난유도선이란햇빛이나전등불에따라축광 ( 축광방식 ) 하거나전류에따라빛을발하는 ( 광원점등방식 ) 유도체로서어두운상태에서피난을유도할수있도록띠형태로설치되는피난유도시설을말한다 .
1""/>"	"<img src=""paste-5766b787d43bb7fa46e14285d3043418362e2930.jpg"" title/>O<div><img src=""paste-30898c2460663d85f1da8ebdc75b595b98d700ad.png"" title/><br/></div>"
"<img src=""paste-06d53b3e0f8e90bf1f66d43d09e7920cf06735f0.jpg"" title=""132 &lt;5 기본서 0.344 참조피난구유도등의설치높이는피난구의바닥으로부터높이 1.0[m] 이상으로서출입구에인접하도록설치해야한다 . 또한 , 피난층으로향하는피난구의위치를안내할수밌드록출입구인근천장에설치된피난구유도등의면과평행이되도록피난구유도등을추가로설치해야한다 . 다만 , 설치된피난구유도등이입체형인경우에는그렇지않다 .
ㅇ 1×""/>"	"<img src=""paste-c5bf49af7931f933d38a62f7b9ffb585e1944b05.jpg"" title/>X<div><img src=""paste-49cf7cf9164447494534fda508e80a6e0814c118.png"" title/><br/></div>"
"<img src=""paste-92b4794d6a2f1aba54c78e1b6ef12c73c60a8e95.jpg"" title=""133 &lt;&gt; 가본서 0.345 참조계단통로유도등은바닥으로부터높이 0.5[m] 이하의위치에설치하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-5ed77bb8f134dff7e2417657baeeff09fdb969ce.jpg"" title/>X<div><img src=""paste-143495088ef9002ff59e21cad772dd27f1e5e12b.png"" title/><br/></div>"
"<img src=""paste-4e9788b69954a3cf8b8193ae708797ac713a95f9.jpg"" title=""134 &lt;&gt; 기본서 6.345 참조객석유도등은객석의통로 , 바닥또는천장에설치해야하며 , 객석통로의직선부분의길이가 50[07)] 인곳에는객석유도등을 12 개설치해야한다 .
0 ㅇ 1×""/>"	"<img src=""paste-d2d0bf00112d603d6b36d28687de393774738c11.jpg"" title/>X<div><img src=""paste-143495088ef9002ff59e21cad772dd27f1e5e12b.png"" title/><br/></div>"
"<img src=""paste-d49e4b5da036f9eb01b4f179f54b4a27c1b901fd.jpg"" title=""135 &lt;&gt; 기본서 0.346 참조광원점등방식피난유도선의피난유도표시부는바닥으로부터높이 1[07] 이하의위치또는바닥면에설치하여야한다 .
o1x""/>"	"<img src=""paste-1c0aefd351f8778151c125319ce6256c3558d75f.jpg"" title/>O<div><img src=""paste-8a228c47da34d60ce15b13803004650abc1dcb3e.png"" title/><br/><div><img src=""paste-28ef4b8e95f7e7466caa40c8f196c5dddb5efec4.png"" title/><br/></div></div>"
"<img src=""paste-caae8daada975f33e4b4a4dd47ee0fce482b784b.jpg"" title='136 &lt;&gt; 기본서 0.347 참조의료시설에설치하는피난구유도등은 “ 대형 "" 으로설치해야한다 .
ㅇ 1×'/>"	"<img src=""paste-9061b97640e54acbdfd9a2a282ce7c3b000d52f5.jpg"" title/>O<div><img src=""paste-42b28af2aeb1502b8eb7e1bf6a755ee1ede5ff92.png"" title/><br/></div>"
"<img src=""paste-cad32f5b8ab69aa0ead641f5cdb548c987e44651.jpg"" title=""137 &lt; 가본서 6.348 참조휴대용비상조명등은바닥으로부터 0.5[m] 이상 1.0[m] 이하의높이에설치하며 , 숙박시설및다중이용업소에는객석또는영업장안의구획된실마다잘보이는곳에 3 개이상설치하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-63e8a5847d5548c4378dd66ff8afe29a99cf3b3a.jpg"" title/>X<div><img src=""paste-14e712039e2819c5f2f41391146a66c5fa80f2c1.png"" title/><br/></div>"
"<img src=""paste-7bda8ee55f9a4e0e8d2b5e455bfe686c3c6af13e.jpg"" title=""138 5 기본서 6.349 참조상수도소화용수설비의설치기준에따라호칭지름 100[000] 이상의수도배관에호칭지름 75[mm] 이상의소화전을접속하여야하며 , 특정소방대상물의수평투영면의각부분으로부터 100[07] 이하가되도록설치해야한다 .
ㅇ 1×""/>"	"<img src=""paste-418b8415d87a7f739f5880a0606fc729cce181d7.jpg"" title/>X<div><img src=""paste-58be6cb1825454f94845dfb816ae9367a85a17f3.png"" title/><br/></div>"
"<img src=""paste-2e60545e2d1f6ceffff13162ef9d8df71c9653fe.jpg"" title=""139 &lt;5 기본서 0.350 참조
15 및 2 층의각바닥면적은 5.000[0?], 3 층의바닥면적 2,500[m?]Q! 건축물에대한소화수조및저수조의저수량은 20[07] 이다 .
ㅇ 1×""/>"	"<img src=""paste-b47e7d2ba9753e125ab2f6caae55fb3c8c901e78.jpg"" title/>O<div><img src=""paste-f13d43f881f35121ff8f491026c6f7bdab8ca03b.png"" title/><br/></div>"
"<img src=""paste-e839732cb2f6e0e56b13cf9213b496ea89576265.jpg"" title=""140 &lt;&gt; 기본서 ”6.351 참조소화수조및저수조의채수구는소방용호스또는소방용흡수관에사용하는구경
40[mm] 이상의나사식결합금속구를설치하여야하며 , 지면으로부터의높이가
0.8[m] O 1.5[m] 이하의위치에설치하고 “ 채수구 ” 라고표시한표지를하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-96512a7d205cbaf42f476127637444614d554ee6.jpg"" title/>X<div><img src=""paste-a63c9930a9c161b72216779192d0b659b302e31a.png"" title/><br/></div>"
"<img src=""paste-ef932f4cb7dcaa3455f8ef421eb819206a100814.jpg"" title=""141 &lt;5 기본서 0.391 참조소화수조및저수조는지표면으로부터의깊이가 1.5[07] 이상인지하에소화수조또는저수조가설치된경우가압송수장치를설치하여야한다 .
ㅎ 1%※""/>"	"<img src=""paste-9e0b6d8ebfb6be09139dcb580420783e48f711cf.jpg"" title/>X<div><img src=""paste-a63c9930a9c161b72216779192d0b659b302e31a.png"" title/><br/></div>"
"<img src=""paste-7be5dab232c374c4bb3dee0f87f23f34d158421f.jpg"" title=""142 &lt;5 기본서 .352 참조스모크타워제연방식은굴뚝효과를이용하여창살또는유리창에달린지붕위의원형구조툴인루프모니터를설치하여제연하는방식을말하며 , 저층건축물에주로사용하는제연방식이다 .
01X""/>"	"<img src=""paste-66f495565359ed7cc1def1c942715077e47310e2.jpg"" title/>X<div><img src=""paste-651a672aa58705c28d605967afe1b7e138a96a51.png"" title/><br/></div>"
"<img src=""paste-ae725ae2ebb3ec0eec60b36510df4426b232bac0.jpg"" title=""143 &lt;&gt; 가본서 6353 참조제 2 종기계제연방식은송풍기만설치하여급기및배기를하는방식이고 , 제 3 종기계제연방식은배연기만설치하여급기및배기를하는방식을말한다 .""/>"	"<img src=""paste-f59dc763886c4f748de075b246763afebbcca3c9.jpg"" title/>O<div><img src=""paste-d5acbe41ae917054767ef2305acdd878e8c2e701.png"" title/><br/></div><div><img src=""paste-000246af016a015b33e0eec47522edac82ab4b09.png"" title/><br/></div>"
"<img src=""paste-8b89dcb6a7001f4e5fa15a69d5267efd068aa430.jpg"" title=""144 5 기본서 6.353 참조하나의제연구역의면적은 600[m?] 이내로하여야하며 , 하나의제연구역은직경
50[m] 원내에들어갈수있어야한다 .""/>"	"<img src=""paste-6372f01e3fae6c57bf214a51764b988507fe6891.jpg"" title/>X<div><img src=""image-d5acbe41ae917054767ef2305acdd878e8c2e701.png"" title/><br/></div><div><img src=""image-000246af016a015b33e0eec47522edac82ab4b09.png"" title/><br/></div>"
"<img src=""paste-fedd66b07a5be68139524262bcf7fc5f7e1ae0e9.jpg"" title=""145 &lt;&gt; 기본서 .353 참조제연경계는제연경계의폭이 2[m] 이상이고 , 수직거리는 0.6[m] 이내이어야한다 .
다만 , 구조상불가피한경우는 0.6[07] 를초과할수있다 .
ㅇ 1×""/>"	"<img src=""paste-7e262095ceb72d79dbfc9991dd63e63b34f57bad.jpg"" title/>X<div><img src=""image-d5acbe41ae917054767ef2305acdd878e8c2e701.png"" title/><br/></div><div><img src=""image-000246af016a015b33e0eec47522edac82ab4b09.png"" title/><br/></div>"
"<img src=""paste-0d5a72fd24b4d9f11f4be424580ec2235294ad00.jpg"" title=""146 5 가본서 0.354 참조연결송수관설비는건축물의옥내에설치된송수구에소방차로부터가압수를송수하고소방관이건죽물내에설치된방수기구함에비치된호스를헤드에연결하여화재를진압하는소화활동설비이다 .
ㅇ 1%×※""/>"	"<img src=""paste-a7b61c8a259518af13c4becfd49eebf7424a6f20.jpg"" title/>X<div><img src=""paste-172b1f77f9ee4f9b1194cb8302deacde9f33f3b0.png"" title/><br/></div>"
"<img src=""paste-381807573ae81ec72fc52070a96378fb17cff57b.jpg"" title=""147 &lt;&gt; 기본서 0.355 참조연결송수관설비의송수구는지면으로부터 £0]7}0.5[m] 이상 1[m] 이하의위치에설치하여야하며 , 구경 65[mm]2| 쌍구형으로하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-0d604a7206e4bb39914dba0169125ff2d1db78ff.jpg"" title/>O<div><img src=""image-73ecbb30a423722f83309e4899daeab5321ca776.jpg"" title/><br/></div>"
"<img src=""paste-cb71177491dfe40b75288e021654512d995a80b3.jpg"" title=""148 &lt;5 기본서 6.357 참조연결송수관설비방수기구함은피난층과가장가까운증을기준으로 5 개층마다설치하되 , 그층의방수구마다보행거리 3[m] 이내에설치하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-0154976473844f44381f19a11019be2287f72631.jpg"" title/>X<div><img src=""paste-d96154d06696d0fb19f995a87a6955f15879f003.png"" title/><br/></div>"
"<img src=""paste-9925889ff19c742d0b10edeb10a2fd2b90fb7023.jpg"" title=""149 &lt;&gt; 가본서 0.358 참조연결살수설비의구성요소로는호스접결구 , 송수구 , 선택밸브 , 자동배수밸브 , 폐쇄형헤드 , 개방형헤드등이있다 .
ㅇ 1×""/>"	"<img src=""paste-7a76d74ed67f365e45d29b6a322fc7e92b68096e.jpg"" title/>O<div><img src=""paste-6533b06341db702cd01331370e0c6f64a15e2ad9.png"" title/><br/></div>"
"<img src=""paste-7ac7d59a22bde7da8107044081dcd38c5e065b81.jpg"" title=""150 &lt;&gt; 기본서 6.359 참조비상콘센트설비의전원회로는 3 상교류 380[\/] 인것으로서 , 그공급용량은 1.5[\/]
이상인것으로할것 .
ㅇ 1×""/>"	"<img src=""paste-d8ef3a5a89f1da67b7c45ec7a2dd0d48dbe4d253.jpg"" title/>X<div><img src=""paste-43bd968977fcf8b67eeac85415b2f292c2638760.png"" title/><br/></div>"
"<img src=""paste-b1d79224c27d4f96cf2b1c8174c07f64155e2825.jpg"" title=""151 &lt;5 기본서 6.360 참조무선통신보조설비중분파기란신호의전송로가분기되는장소에설치하는것으로임피던스매칭과신호균등분배를위해사용하는장치를말한다 .
ㅇ 1×""/>"	"<img src=""paste-384c99e2d8f9c5c83427fb335623090dfeb98d6b.jpg"" title/>X<div><img src=""paste-89ea3dc88e30d964bd816133cf9390adf6bdba86.png"" title/><br/></div>"
"<img src=""paste-0edd0c661739ca0ffdf59d027e0f5da3d6cb5f98.jpg"" title=""152 &lt;&gt; 기본서 6.360 참조무선통신보조설비의구성요소에는누설동축케이블 , 분배기 , 분파기 , 혼합기 , 확성기 ,
증폭기 , 음량조절기 , 무선중계기 , 옥외안테나 , 임피던스등이있다 .
ㅇ …1×""/>"	"<img src=""paste-17dfc0719d8788793ffdd146dd5d50f550a6a8b8.jpg"" title/>X<div><img src=""paste-89ea3dc88e30d964bd816133cf9390adf6bdba86.png"" title/><br/></div>"
"<img src=""paste-a34ab6122cb7a7b28a6b58935555a3c1b9c8cac4.jpg"" title=""153 &lt;5 기본서 ”0.362 참조지하구에설치하는연소방지설비의헤드는소방대원의출입이가능한환기구 - 작업구마다지하구의한쪽방향으로살수헤드를설정하되 , 한쪽방향의살수구역의길이는 5[07] 이상으로할것 .
ㅇ 1×""/>"	"<img src=""paste-3442e25bd938a3eda41a85b4e86770706475516c.jpg"" title/>X<div><img src=""paste-8ae0a99853f0bcab7544817813c302a995849616.png"" title/><br/></div>"
<div>-입자크기-</div>연기<div>고체에어로졸</div><div>분말</div><div>분진</div>	"<img src=""paste-f1a3d08b7be193415b886d010c0cd8f2f3a06e51.png"" title="""">"
