#separator:tab
#html:true
"<img src=""paste-6d5132053d0c1b9c309241f12c4141da0547784b.jpg"" title=""o1 &lt;&gt; 기본서 0.461 참조아네스 (8「. J. Anesth) = 재난을크게자연재난과인적 ( 인위 ) 재난으로구분하였고 ,
E2(David K. Jones)i= 재난을크게자연재난 , 준자연재난 , 인적 ( 인위 ) 재난으로구분하였다 .
ㅇ 1×""/>"	"<img src=""paste-169dc9379efe37462e679265562426bd69870c23.jpg"" title=""""><img src=""paste-f3068d8217a1f6d8f33ca7a7939fdde2a08d4ba5.jpg"" title=""""><div><img src=""paste-b174d33c8b1ce9abbe83fa567c663efe255c957b.png"" title=""""><br></div>"
"<img src=""paste-8cb0d5122c977b001da49bf76f2a9b1e9c409ae7.jpg"" title=""84 &lt;&gt; 기본서 0.561 참조통제단이설치 ㆍ 운영되는경우에긴급구조지휘대를구성하는요원과해당요원이배치되는부서는 “ 통신지원요원 - 현장지휘부 ”, “ 상황조사요원 - 현장지휘부 ” 및 “ 구급지휘요원 - 현장지휘부 ” 이다 .
ㅇ 1×""/>"	"<img src=""paste-f4235b094e09b4344589cf477a5db097fed74dfa.jpg"" title/><img src=""paste-bd1950496b89327dc5aa65c872846071a64730ee.jpg"" title/><div><img src=""image-91d47c225db9a5465c1536bcabb2b6c50a704c42.jpg"" title/><br/></div>"
"<img src=""paste-909fa8eb9c2935ce511e997d647c3286181c23a6.jpg"" title=""85 &lt;&gt; 기본서 0.564 참조중앙사고수습본부장은대통령령으로정하는규모의재난이발생하여국가의안녕및사회질서의유지에중대한영향을미치거나피해를효과적으로수습하기위하여특별한조치가필요하다고인정하거나지역대책본부장의요청이타당하다고인정하는경우에는안전정책조정위원회의심의를거쳐해당지역을특별재난지역으로선포할것을대통령에게건의할수있다 .
ㅇ 1×""/>"	"<img src=""paste-e1d401c128da83e33662c53e46ef38a7977a4cce.jpg"" title/><img src=""paste-bd1950496b89327dc5aa65c872846071a64730ee.jpg"" title/><div><img src=""paste-931ac579d06f45ee27df37c0645e39b15c79be78.png"" title/><br/></div>"
"<img src=""paste-43c1ee9eff397614defc0e000c60a67c38a750b6.jpg"" title=""86 기본서 0.564 참조대규모인명피해가발생하는등시급하게특별재난지역으로선포할필요가있는경우로서중앙대책본부장의요청 ( 국무총리가중앙대책본부장의권한을행사하는경우는제외한다 ) 을받아중앙안전관리위원회의심의를거칠시간적여유가없다고중앙안전관리위원회의위원장이인정하는경우중앙대책본부장은중앙안전관리위원회의심의를거치지아니하고해당지역을특별재난지역으로선포할것을대통령에게건의할수있다 .
ㅎ 1※""/>"	"<img src=""paste-cd349807b0633274c84e5582a0d01b03a40cc1dd.jpg"" title/><img src=""paste-70a4f2fe469f269d2264e238e52bbd8ec9216afe.jpg"" title/><div><img src=""paste-931ac579d06f45ee27df37c0645e39b15c79be78.png"" title/><br/></div>"
"<img src=""paste-de18c1d80e4a6eef701dd5afbbbcdfb421642c19.jpg"" title=""87 &lt;&gt; 기본서 .564 참조특별재난지역의선포를건의받은대통령은해당지역을특별재난지역으로선포할수있다 .
01X""/>"	"<img src=""paste-d209532743cdb1c503f6277a3921f62ea31c6964.jpg"" title/><img src=""paste-70a4f2fe469f269d2264e238e52bbd8ec9216afe.jpg"" title/><div><img src=""paste-931ac579d06f45ee27df37c0645e39b15c79be78.png"" title/><br/></div>"
"<img src=""paste-992bdbe3bceeccfff05472f51a73468c54afd900.jpg"" title=""88 &lt;&gt; 기본서 ”0.564 참조
“ 자연재난으로서 ' 자연재난구호및복구비용부담기준등에관한규정 」 제 5 조제 1
항에따른국고지원대상피해기준금액의 1.5 배를초과하는피해가발생한재난 ” 은특별재난지역의선포를건의할수있는재난에해당한다 .
ㅇ 1×""/>"	"<img src=""paste-845f4c211c054de1e95c6d943018663eb38fcf90.jpg"" title/><img src=""paste-70a4f2fe469f269d2264e238e52bbd8ec9216afe.jpg"" title/><div><img src=""paste-931ac579d06f45ee27df37c0645e39b15c79be78.png"" title/><br/></div>"
"<img src=""paste-bfa3d4e29a4ba09eb0d8380c4163ccf0ae723340.jpg"" title=""89 &lt;&gt; 기본서 .568 참조국가와지방자치단체는재난으로피해를입은사람에대하여심리적안정과사회적응을위한상담활동을지원할수있다 .
ㅇ 1×""/>"	"<img src=""paste-f5315030eaf6889b5011c6eabd3f5958df4773fe.jpg"" title/><img src=""paste-70a4f2fe469f269d2264e238e52bbd8ec9216afe.jpg"" title/><div><img src=""paste-931ac579d06f45ee27df37c0645e39b15c79be78.png"" title/><br/></div>"
"<img src=""paste-1fd07bd22fac7b2b9e115cbed0581f1cd99f64f3.jpg"" title=""90 &lt;&gt; 기본서 0.568 참조재난지역에대한국고보조등에지원되는금품또는이를지급받을권리는양도 - 압류하거나담보로제공할수있다 .
ㅇ 1×""/>"	"<img src=""paste-ea5c9e9303ac0aa4921ca00c0510bdd091b71f3f.jpg"" title/><img src=""paste-6147a12530ccc2cf82a181f81f12c3a99d6af178.jpg"" title/><div><img src=""paste-931ac579d06f45ee27df37c0645e39b15c79be78.png"" title/><br/></div>"
"<img src=""paste-9d1913252851655620c5c913856fea33b69480e9.jpg"" title=""91 &lt;5 기본서 0.570 참조국가는국민의안전의식수준을높이기위하여매년 5 월 25 일을국민안전의날로정하여필요한 WA 등을한다 .
ㅇ 1%×""/>"	"<img src=""paste-0da3a7485e3df09143462ddf2f249b61574a8607.jpg"" title/><img src=""paste-6147a12530ccc2cf82a181f81f12c3a99d6af178.jpg"" title/><div><img src=""paste-8aea0e6ff1ae5490c4420d9c743a45675dda3d2a.png"" title/><br/></div>"
"<img src=""paste-5dbe728c6d06f06bfefb6a01bbf7b205c8657225.jpg"" title=""92 &lt;5 기본서 0.571 참조행정안전부장관은재난을예방하고 , 재난이발생할경우그피해를최소화하기위하여재난및안전관리업무에종사하는자가지켜야할사항등을정한안전관리헌장을제정 - 고시하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-c8b74ae475b5c685cdcf02e09f88bc24a8b4463e.jpg"" title/><img src=""paste-6147a12530ccc2cf82a181f81f12c3a99d6af178.jpg"" title/><div><img src=""paste-8aea0e6ff1ae5490c4420d9c743a45675dda3d2a.png"" title/><br/></div>"
"<img src=""paste-12f95ac7b73cfa8798679ad853339337415364c9.jpg"" title=""93 &lt;&gt; 기본서 0.572~574 참조중앙행정기관의장또는지방자치단체의장은축제기간중순간최대관람객이 500
명이상이될것으로예상되는지역축제를개최하려면해당지역축제가안전하게진행될수있도록지역축제안전관리계획을수립하고 , 그밖에이에필요한조치를하여야한다 .
ol %""/>"	"<img src=""paste-67848f46ddb50bb3da31cd89a5dc3bf9ee37bb9c.jpg"" title/><img src=""paste-6147a12530ccc2cf82a181f81f12c3a99d6af178.jpg"" title/><div><img src=""paste-8aea0e6ff1ae5490c4420d9c743a45675dda3d2a.png"" title/><br/></div>"
"<img src=""paste-276a72c1953c11929fa8e4de86c6ff86bbb1d147.jpg"" title=""94 &lt;&gt; 기본서 .572~574 참조동일한지역축제가 2 개이상의시 - 군 - 구에서동시에열리는경우에는시 - 도지사가관할시 - 군 - 구의지역축제안전관리계획을받아이를종합하여지역축제안전관리계획을수립할수있다 .
ㅇ 1×""/>"	"<img src=""paste-b29907a24e1ac0216f8e2caa6f27badaca0a53f6.jpg"" title/><img src=""paste-d0e6c4d53fee01e04e7c4f5666f6234cd5919acd.jpg"" title/><div><img src=""paste-8aea0e6ff1ae5490c4420d9c743a45675dda3d2a.png"" title/><br/></div>"
"<img src=""paste-48223101ab0ecc4f7b4eebb94c033da38965bc53.jpg"" title=""95 O pST2-574 8E
중앙행정기관의장또는지방자치단체의장외의자로서지역축제를개최하려는자는지역축제안전관리계획을수립하여축제개최일 4 주전까지관할시장 - 군수 - 구청장에게제출해야한다 . 이경우지역축제안전관리계획을변경하려는경우에는해당축제개최일 10 일전까지변경된내용을제출해야한다 .
1""/>"	"<img src=""paste-eb6760a6ddb102d3fbbc792cc58996633deaaccc.jpg"" title/><img src=""paste-d0e6c4d53fee01e04e7c4f5666f6234cd5919acd.jpg"" title/><div><img src=""paste-8aea0e6ff1ae5490c4420d9c743a45675dda3d2a.png"" title/><br/></div>"
"<img src=""paste-f1f677fcfa683b63186e18b4f5ed396c36da516a.jpg"" title=""96 &lt;&gt; 기본서 0.575 참조행정안전부장관은다중운집으로인한재난이나각종사고가발생하는것을예방하기위하여대통령령으로정하는시설 - 장소에대하여다중운집의일시및장소등의사항을포함한실태조사를실시하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-8cf4a4f18c69c412a7f12dadbec3ed5287ef7592.jpg"" title/><img src=""paste-d0e6c4d53fee01e04e7c4f5666f6234cd5919acd.jpg"" title/><div><img src=""paste-8aea0e6ff1ae5490c4420d9c743a45675dda3d2a.png"" title/><br/></div>"
"<img src=""paste-a435a3c6fe66e1bd51d4ed418fdbf94321ca2587.jpg"" title=""97 &lt;5 기본서 0.575 참조국무총리는누구든지안전에위협이될우려가있는요인이나징후를발견하였을때이를행정기관에안전신고를할수있도록필요한통합정보시스템을구축 - 운영할수있다 .
ㅇ 1×""/>"	"<img src=""paste-6c164ea639e5e495755c4d34e98a775779c40114.jpg"" title/><img src=""paste-d0e6c4d53fee01e04e7c4f5666f6234cd5919acd.jpg"" title/>"
"<img src=""paste-573e90a4d0dad73101606e0ab3adcad4052f6a1c.jpg"" title=""98 /5 기븐서 0.576 참조재난관리기금의매년도최저적립액은최근 5 년동안의 「 지방세법 .에의한보통세의수입결산액의평균연액의 300 분의 1 에해당하는금액으로한다 .
o x""/>"	"<img src=""paste-49a93c0a5d3f59f87f72367b70f90d8d29a2e7a2.jpg"" title/><img src=""paste-1a1a4f23083d7b1fd9c6ee8c0f08dcfda2e90a8c.jpg"" title/><div><img src=""paste-cd7f253ef724d7ca385dae927d68febba534b21a.png"" title/><br/></div>"
"<img src=""paste-b5e44f7c8225c55e1b89465afaa687392ed4768f.jpg"" title=""99 &lt;&gt; 기본서 0.577 참조행정안전부장관은재난사태를선포하게한재난의경우에는재난안전분야전문가및전문기관등이공동으로참여하는정부합동재난원인조사단을편성하고 , 이를현지에파견하여재난안전조사를실시할수있다 .
ㅇ 1×""/>"	"<img src=""paste-80684a60286c937c2e71a7054d6e51960493e287.jpg"" title/><img src=""paste-1a1a4f23083d7b1fd9c6ee8c0f08dcfda2e90a8c.jpg"" title/><div><img src=""paste-cd7f253ef724d7ca385dae927d68febba534b21a.png"" title/><br/></div>"
"<img src=""paste-4c0414a544ed048fa548793d0d45f65bc7111025.jpg"" title=""100 &lt; 기본서 6.577 참조국무총리는매년재난상황등을기록한재해연보또는재난연감을작성하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-7698f9ff7c2713df7f592b4c3b262d6289fe7109.jpg"" title/><img src=""paste-1a1a4f23083d7b1fd9c6ee8c0f08dcfda2e90a8c.jpg"" title/><div><img src=""paste-cd7f253ef724d7ca385dae927d68febba534b21a.png"" title/><br/></div>"
"<img src=""paste-e3cc0aaf396856bf347ff862528278f918c8ae7d.jpg"" title=""101 &lt;5 기본서 .579 참조과학기술정보통신부장관은재난및안전관리에관한과학기술의진흥을위하여 5 년마다관계중앙행정기관의재난및안전관리기술개발에관한계획을종합하여중앙안전관리위원회의심의와 ' 국가과학기술자문회의법 」』 에따른국가과학기술자문회의의심의를거쳐재난및안전관리기술개발종합계획을수립하여야한다 .
o1 x""/>"	"<img src=""paste-4728386e0bcd5b1bbf2a02af0e2561f6fd36aff6.jpg"" title/><img src=""paste-1a1a4f23083d7b1fd9c6ee8c0f08dcfda2e90a8c.jpg"" title/><div><img src=""paste-cd7f253ef724d7ca385dae927d68febba534b21a.png"" title/><br/></div>"
"<img src=""paste-7eb55abbe6902c9316bb2eb37bf9d24d74817e69.jpg"" title=""102 &lt;&gt; 기본서 0.586~587 참조
「 식품위생법시행령 」」 제 21 조제 8 호가목에따른휴게음식점영업또는같은호나목에따른일반음식점영업을위하여영업장으로사용하는바닥면적의합계가 33 제곱미터이상인시설의소유 - 관리또는점유하는자는해당시설에서발생하는화재 , 붕괴 , 폭발등으로인한타인의생명 - 신체나재산상의손해를보상하기위하여보험또는공제에가입하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-35c6d8a2cefb520f80139b762b83b0c59a2b4920.jpg"" title/><img src=""paste-1a1a4f23083d7b1fd9c6ee8c0f08dcfda2e90a8c.jpg"" title/>"
"<img src=""paste-19f5fe16993b5ff72d24f87fd8af586bcfc009e9.png"" title=""「 재난및안전관리기본법시행령 」 상긴급구조기관의장이수립하는재난유형별긴급구조대응계획에포함되어야할내용으로옮은것은 ? 20 년간부
Q 긴급구조대응계획의기본방침과절차
© 긴급구조대응계획의목적및적용범위
© 주요재난유형별대응매뉴얼에관한사항
@) 비상경보방송메시지작성등에관한사항
@ 긴급구조대응계획의운영책임에관한사항
) 재난발생단계별주요긴급구조대응활동 At
®0 6 06
@0, 06 0
®0 e 6
@®6®© e 0
® 0©, @ 6""/>"	"<img src=""paste-1913c7a3f070fdc31f64b33f45b2d88fd4b46b45.png"" title/>"
안전관리란 각종 시설 및 물질 등의 제작, 유지관리 과정에서 안전을 확보할 수 있도록 적용하여야 할 기술적 기준을 체계화한 것이다.	"<img src=""paste-9bfb0ce6bbaa106d5ae0ebf6a51941852604c84f.jpg"" title="""">"
안전기준의 분야, 범위 등에 관하여는 행안부령으로 정한다.	"<img src=""paste-9bfb0ce6bbaa106d5ae0ebf6a51941852604c84f.jpg"" title/>"
재난관리 단계별 세부 사항<div>-예방</div>	"<img src=""paste-21cb75094694da56077eb1c65dc91c99a492d0c3.jpg"" title="""">"
재난관리 단계별 세부 사항<div>-대비</div>	"<img src=""paste-21cb75094694da56077eb1c65dc91c99a492d0c3.jpg"" title/>"
재난관리 단계별 세부 사항<div>-대응</div>	"<img src=""paste-21cb75094694da56077eb1c65dc91c99a492d0c3.jpg"" title/>"
재난관리 단계별 세부 사항<div>-복구</div>	"<img src=""paste-21cb75094694da56077eb1c65dc91c99a492d0c3.jpg"" title/>"
당연직 위원	"<img src=""paste-585de0f55d804fb5a50d29aa0af4f696f84f6199.jpg"" title/>"
